title,genres,budget,language,duration,year,vote_count,score
The Mothman Prophecies,0,32000000,## INCONSISTENCY ## ,119,2002,305,6.1
Alice in Wonderland,0,200000000,English,108,2010,306320,6.5
Nicholas Nickleby,0,10000000,English,132,2002,9395,7.2
Battleship,0,209000000,English,131,2012,202382,5.9
Departure,0,1100000,English,109,2015,162,7.0
Hollywood Shuffle,1,0,## INCONSISTENCY ## ,78,1987,19,5.7
Live and Let Die,0,7000000,## INCONSISTENCY ## ,121,1973,533,6.4
The Good Thief,0,0,## INCONSISTENCY ## ,108,2003,31,6.0
Harry Potter and the Chamber of Secrets,0,100000000,English,174,2002,387616,7.4
Detention of the Dead,1,500000,## INCONSISTENCY ## ,87,2012,34,4.5
Down Terrace,1,31192,## INCONSISTENCY ## ,89,2009,26,6.3
After Earth,0,130000000,## INCONSISTENCY ## ,100,2013,2532,5.0
Little White Lies,1,25000000,French,134,2010,18395,7.1
Interview with the Vampire,0,60000000,## INCONSISTENCY ## ,123,1994,1516,7.2
Zipper,0,0,## INCONSISTENCY ## ,103,2015,58,5.5
Rumble in the Bronx,1,7500000,Cantonese,89,1995,29843,6.7
Home Fries,1,15000000,English,91,1998,7159,5.0
Veronika Decides to Die,0,9000000,## INCONSISTENCY ## ,103,2009,75,5.8
The French Connection,0,1800000,English,104,1971,82476,7.8
Ben-Hur,0,100000000,English,141,2016,67,6.0
Philomena,0,12000000,English,98,2013,76094,7.6
Terminator 2: Judgment Day,0,100000000,## INCONSISTENCY ## ,137,1991,4185,7.7
Eyes Wide Shut,0,65000000,English,159,1999,227071,7.3
To Rome with Love,1,17000000,English,112,2012,67893,6.3
Law Abiding Citizen,0,53000000,## INCONSISTENCY ## ,109,2009,1486,7.2
Aqua Teen Hunger Force Colon Movie Film for Theaters,1,0,## INCONSISTENCY ## ,86,2007,35,6.5
Sphinx,0,14000000,English,118,1981,892,5.2
Ace Ventura: When Nature Calls,1,30000000,English,90,1995,160321,6.3
Maze Runner: The Scorch Trials,0,61000000,## INCONSISTENCY ## ,132,2015,3040,6.4
Up in the Air,0,25000000,English,108,2009,270238,7.4
Spice World,1,25000000,English,93,1997,28377,3.3
Love in the Time of Cholera,0,45000000,English,139,2007,19114,6.4
Rise of the Guardians,0,145000000,English,97,2012,123553,7.3
For Colored Girls,0,0,## INCONSISTENCY ## ,134,2010,22,7.0
Kangaroo Jack,1,0,## INCONSISTENCY ## ,89,2003,203,4.3
Rise of the Planet of the Apes,0,93000000,## INCONSISTENCY ## ,105,2011,4347,7.0
Resurrecting the Champ,0,13000000,English,112,2007,18442,6.8
Dudley Do-Right,1,70000000,## INCONSISTENCY ## ,77,1999,48,3.8
Down and Out with the Dolls,1,1200000,English,88,2001,91,6.1
Sea Rex 3D: Journey to a Prehistoric World,0,5000000,English,41,2010,296,6.9
The Lord of the Rings: The Two Towers,0,79000000,## INCONSISTENCY ## ,179,2002,7487,8.0
Ocean's Twelve,0,110000000,## INCONSISTENCY ## ,125,2004,2124,6.4
Quest for Camelot,0,40000000,## INCONSISTENCY ## ,86,1998,190,6.9
Trees Lounge,1,0,## INCONSISTENCY ## ,95,1996,51,6.7
Raising Cain,0,12000000,English,91,1992,9903,6.0
Son of the Mask,1,84000000,## INCONSISTENCY ## ,94,2005,338,3.6
Monster's Ball,0,4000000,English,112,2001,71495,7.1
An Education,0,4500000,English,100,2009,112138,7.3
Romeo Must Die,0,25000000,English,115,2000,57040,6.1
Stealing Harvard,1,25000000,English,85,2002,11211,5.1
The Watcher,0,33000000,## INCONSISTENCY ## ,96,2000,110,4.9
Raising Helen,1,50000000,## INCONSISTENCY ## ,119,2004,189,5.9
Airlift,0,4500000,## INCONSISTENCY ## ,126,2016,57,7.3
Yoga Hosers,1,5000000,English,88,2016,849,4.8
Enter Nowhere,0,0,## INCONSISTENCY ## ,90,2011,49,6.5
"Good Night, and Good Luck.",0,7000000,## INCONSISTENCY ## ,93,2005,273,6.8
Superman,0,55000000,English,188,1978,126357,7.3
American Outlaws,0,35000000,English,94,2001,12077,6.0
Timecop,0,27000000,## INCONSISTENCY ## ,99,1994,282,5.5
Pokémon 3: The Movie,0,16000000,Japanese,93,2000,9066,5.6
A Nightmare on Elm Street 5: The Dream Child,0,8000000,## INCONSISTENCY ## ,89,1989,245,5.5
How to Fall in Love,1,4000000,## INCONSISTENCY ## ,0,2012,20,5.2
War of the Worlds,0,132000000,## INCONSISTENCY ## ,116,2005,2322,6.2
The Spirit,0,60000000,English,103,2008,53864,4.8
Star Wars,0,11000000,## INCONSISTENCY ## ,121,1977,6624,8.1
Wayne's World,1,20000000,English,94,1992,114610,7.0
Step Up,0,12000000,## INCONSISTENCY ## ,104,2006,1060,6.7
Brothers,0,26000000,## INCONSISTENCY ## ,104,2009,633,6.8
Jersey Boys,0,40000000,## INCONSISTENCY ## ,134,2014,255,6.8
Our Brand Is Crisis,1,28000000,## INCONSISTENCY ## ,108,2015,195,5.8
Khiladi 786,1,0,## INCONSISTENCY ## ,139,2012,11,4.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Blow,0,30000000,English,124,2001,198066,7.6
Mallrats,1,6000000,## INCONSISTENCY ## ,94,1995,392,6.8
Michael Jordan to the Max,0,0,## INCONSISTENCY ## ,46,2000,10,7.5
The Host,0,11000000,## INCONSISTENCY ## ,119,2006,537,6.7
The In Crowd,0,15000000,English,105,2000,3668,4.6
Grabbers,1,0,## INCONSISTENCY ## ,94,2012,140,6.0
The Descent,0,3500000,English,100,2005,154938,7.2
Chronicle,0,12000000,English,89,2012,204327,7.1
Made in Dagenham,1,7200000,## INCONSISTENCY ## ,113,2010,94,6.6
Renaissance Man,1,40000000,English,128,1994,13830,6.1
Hud,0,2500000,## INCONSISTENCY ## ,112,1963,66,7.5
On the Road,0,25000000,## INCONSISTENCY ## ,137,2012,301,5.5
Dysfunctional Friends,1,1800000,English,111,2012,686,5.4
The Ides of March,0,12500000,English,101,2011,188652,7.1
The Guard,1,6000000,## INCONSISTENCY ## ,96,2011,372,6.8
Open Season,1,85000000,English,83,2006,65270,6.2
Meet Dave,1,60000000,## INCONSISTENCY ## ,90,2008,371,5.0
Identity,0,30000000,English,91,2003,177828,7.3
The World Is Mine,0,0,## INCONSISTENCY ## ,104,2015,0,0.0
Justin Bieber: Never Say Never,0,13000000,English,115,2011,74351,1.6
The Ghost Writer,0,45000000,English,128,2010,132423,7.2
Straw Dogs,0,25000000,## INCONSISTENCY ## ,110,2011,144,5.5
Bizarre,0,0,## INCONSISTENCY ## ,99,2015,11,6.2
Micmacs,1,27000000,French,105,2009,24657,7.2
Eye of the Dolphin,0,2500000,## INCONSISTENCY ## ,100,2007,7,7.1
Despicable Me,1,69000000,English,87,2010,385943,7.7
Atonement,0,30000000,English,123,2007,192930,7.8
The DUFF,1,8500000,## INCONSISTENCY ## ,100,2015,1322,6.8
Submarine,1,0,## INCONSISTENCY ## ,97,2011,443,7.4
The Sixth Sense,0,40000000,## INCONSISTENCY ## ,107,1999,3147,7.7
As Good as It Gets,1,50000000,English,139,1997,224671,7.7
Daddy's Home,1,50000000,## INCONSISTENCY ## ,96,2015,854,5.8
One Man's Hero,0,11350000,English,121,1999,899,6.2
Dracula: Pages from a Virgin's Diary,0,1596010,## INCONSISTENCY ## ,75,2002,8,6.9
Before Midnight,0,3000000,## INCONSISTENCY ## ,108,2013,568,7.4
I Love Your Work,0,0,## INCONSISTENCY ## ,111,2003,2,6.5
Country Strong,0,15000000,English,117,2010,14814,6.3
Dune,0,40000000,English,177,1984,97087,6.6
Analyze That,1,60000000,## INCONSISTENCY ## ,96,2002,380,5.7
Train,0,0,## INCONSISTENCY ## ,94,2008,36,4.8
John Carter,0,263700000,English,132,2012,212204,6.6
Prom Night,0,20000000,English,89,2008,27664,3.9
Someone Like You...,1,23000000,English,97,2001,19709,6.1
Pete's Dragon,0,65000000,English,102,2016,408,7.3
My Best Friend's Girl,1,20000000,## INCONSISTENCY ## ,101,2008,220,5.4
Philadelphia,0,26000000,## INCONSISTENCY ## ,125,1993,988,7.6
Sabotage,0,35000000,English,109,2014,47502,5.7
Batman & Robin,0,125000000,English,125,1997,189855,3.7
Hell's Angels,0,3950000,## INCONSISTENCY ## ,127,1930,19,6.1
Red Riding: In the Year of Our Lord 1974,0,0,## INCONSISTENCY ## ,102,2009,54,7.0
Excessive Force,0,3000000,## INCONSISTENCY ## ,87,1993,10,4.5
Pirates of the Caribbean: On Stranger Tides,0,250000000,English,136,2011,370704,6.7
High School Musical,1,4200000,## INCONSISTENCY ## ,98,2006,1000,6.1
Absolute Power,0,50000000,English,121,1997,39529,6.7
Oz: The Great and Powerful,0,200000000,## INCONSISTENCY ## ,130,2013,3530,5.7
Sahara,1,130000000,## INCONSISTENCY ## ,124,2005,434,5.7
The Godfather: Part III,0,54000000,English,170,1990,267980,7.6
The Return of the Living Dead,1,4000000,## INCONSISTENCY ## ,91,1985,267,7.3
Observe and Report,1,18000000,English,86,2009,52467,5.8
Abraham Lincoln: Vampire Hunter,0,69000000,English,105,2012,128629,5.9
Persepolis,0,7300000,## INCONSISTENCY ## ,95,2007,450,7.7
Da Sweet Blood of Jesus,1,1420000,English,123,2014,794,4.1
Pride & Prejudice,0,28000000,English,135,2005,193455,7.8
Archaeology of a Woman,0,0,## INCONSISTENCY ## ,94,2014,0,0.0
The Ten,1,0,## INCONSISTENCY ## ,96,2007,57,4.9
Brokeback Mountain,0,14000000,## INCONSISTENCY ## ,134,2005,1480,7.5
Flubber,1,80000000,## INCONSISTENCY ## ,93,1997,695,5.3
The Hurt Locker,0,15000000,English,131,2008,332065,7.6
Survivor,0,20000000,English,96,2015,21833,5.6
Waitress,1,2000000,English,108,2007,37714,7.1
Free Style,0,0,## INCONSISTENCY ## ,94,2008,4,5.8
Star Trek II: The Wrath of Khan,0,11000000,English,116,1982,91414,7.7
Only the Strong,0,6000000,English,99,1993,4195,6.7
Deadpool,1,58000000,## INCONSISTENCY ## ,108,2016,10995,7.4
Abandon,0,25000000,English,99,2002,7909,4.9
The Twilight Saga: Breaking Dawn - Part 2,0,120000000,English,115,2012,185394,5.5
Kung Fu Panda,1,130000000,English,92,2008,307029,7.6
Furious 7,0,190000000,English,140,2015,278232,7.2
Atlas Shrugged: Who Is John Galt?,0,5000000,English,99,2014,1900,4.4
An American in Hollywood,0,125000,English,89,2014,100,7.2
We Need to Talk About Kevin,0,7000000,## INCONSISTENCY ## ,112,2011,677,7.4
Michael Clayton,0,25000000,English,119,2007,133367,7.3
Miracle at St. Anna,0,45000000,English,160,2008,15697,6.0
Last Orders,1,0,## INCONSISTENCY ## ,109,2001,22,6.0
Spider-Man 2,0,200000000,## INCONSISTENCY ## ,127,2004,4321,6.7
The Young Messiah,0,18500000,English,111,2016,1449,5.4
The Hobbit: The Battle of the Five Armies,0,250000000,English,164,2014,354228,7.5
Hoop Dreams,0,700000,## INCONSISTENCY ## ,171,1994,87,7.7
Argo,0,44500000,English,130,2012,452465,7.7
The Quiet,0,900000,## INCONSISTENCY ## ,96,2005,73,6.1
Jindabyne,0,0,## INCONSISTENCY ## ,123,2006,25,5.7
Underworld: Rise of the Lycans,0,35000000,## INCONSISTENCY ## ,92,2009,1428,6.2
Out Cold,1,24000000,## INCONSISTENCY ## ,89,2001,53,5.8
Across the Universe,0,45000000,English,133,2007,91863,7.4
Goldfinger,0,3000000,English,110,1964,139432,7.8
The Pallbearer,1,8000000,## INCONSISTENCY ## ,97,1996,30,4.6
Defendor,1,3500000,English,95,2009,31836,6.8
Friday the 13th Part III,0,4000000,## INCONSISTENCY ## ,95,1982,254,5.7
The Hangover Part II,1,80000000,## INCONSISTENCY ## ,102,2011,3739,6.2
Cheaper by the Dozen 2,1,60000000,## INCONSISTENCY ## ,94,2005,526,5.7
Love Happens,0,18000000,## INCONSISTENCY ## ,109,2009,180,5.6
Thirteen Conversations About One Thing,0,4500000,English,104,2001,8603,7.1
Bronson,0,230000,## INCONSISTENCY ## ,92,2008,733,6.9
Monty Python and the Holy Grail,1,400000,## INCONSISTENCY ## ,91,1975,1708,7.8
Nothing to Lose,1,25000000,## INCONSISTENCY ## ,97,1997,174,6.3
Fantastic Mr. Fox,1,40000000,English,87,2009,139114,7.8
One Hour Photo,0,12000000,English,96,2002,97938,6.8
The Deer Hunter,0,15000000,## INCONSISTENCY ## ,183,1978,921,7.8
A Tale of Three Cities,0,0,## INCONSISTENCY ## ,130,2015,5,6.3
Ella Enchanted,1,31000000,## INCONSISTENCY ## ,96,2004,437,5.9
Anchorman 2: The Legend Continues,1,50000000,English,143,2013,131227,6.3
Urbania,0,0,## INCONSISTENCY ## ,103,2000,10,5.2
Birdman,1,18000000,## INCONSISTENCY ## ,119,2014,4535,7.4
Nacho Libre,1,32000000,English,92,2006,65551,5.7
Not Cool,1,600000,English,93,2014,4167,5.1
Cyrus,1,7000000,English,91,2010,29967,6.3
Somewhere,1,8000000,## INCONSISTENCY ## ,98,2010,208,6.0
The Bridge on the River Kwai,0,3000000,English,161,1957,149444,8.2
Stop-Loss,0,25000000,## INCONSISTENCY ## ,113,2008,82,6.1
Swept Away,1,10000000,English,89,2002,13145,3.6
The Big Parade,0,245000,## INCONSISTENCY ## ,151,1925,21,7.0
The Beaver,0,21000000,English,91,2011,39764,6.7
The Brothers Bloom,1,20000000,## INCONSISTENCY ## ,114,2008,203,6.8
The Lucky One,0,25000000,## INCONSISTENCY ## ,101,2012,946,6.8
All the Boys Love Mandy Lane,0,750000,## INCONSISTENCY ## ,90,2008,209,5.7
Her,0,23000000,## INCONSISTENCY ## ,126,2013,4097,7.9
Critical Care,1,0,## INCONSISTENCY ## ,107,1997,9,6.1
The Last Emperor,0,23000000,English,219,1987,70274,7.8
Mirror Mirror,1,85000000,## INCONSISTENCY ## ,106,2012,1114,5.5
Damnation Alley,0,17000000,English,91,1977,3701,5.2
Evil Dead,0,17000000,English,96,2013,125016,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Being Julia,1,18000000,English,104,2004,10680,7.1
An Ideal Husband,1,14000000,English,97,1999,12980,6.9
Roadside Romeo,0,7000000,## INCONSISTENCY ## ,93,2008,3,6.7
The Change-Up,1,52000000,## INCONSISTENCY ## ,112,2011,736,5.9
The Dilemma,1,70000000,English,111,2011,43709,5.3
Along Came Polly,1,42000000,## INCONSISTENCY ## ,90,2004,773,5.8
The Dress,1,0,nl,103,1996,3,7.0
Straight Out of Brooklyn,0,0,## INCONSISTENCY ## ,0,1991,4,4.3
The Girl on the Train,0,0,## INCONSISTENCY ## ,105,2009,10,5.6
The Veil,0,4000000,English,93,2016,4146,4.7
The Da Vinci Code,0,125000000,English,174,2006,314253,6.6
Lakeview Terrace,0,22000000,English,110,2008,40469,6.1
Autumn in New York,0,40000000,English,103,2000,20201,5.5
The Ridges,0,17350,English,143,2011,125,3.0
Sea of Love,0,19000000,English,113,1989,30213,6.8
"Welcome Home, Roscoe Jenkins",1,35000000,English,114,2008,10791,5.3
Deuce Bigalow: European Gigolo,1,22000000,English,83,2005,41239,4.6
Babel,0,25000000,English,143,2006,243799,7.5
Like Crazy,0,250000,English,90,2011,46813,6.7
Gangster Squad,0,60000000,## INCONSISTENCY ## ,113,2013,1778,6.2
The Nut Job,1,42000000,English,85,2014,19547,5.8
I Love You Phillip Morris,1,13000000,English,102,2009,77305,6.6
Harlock: Space Pirate,0,30000000,Japanese,115,2013,8227,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Kill Bill: Vol. 1,0,30000000,## INCONSISTENCY ## ,111,2003,4949,7.7
Escape from the Planet of the Apes,0,2500000,## INCONSISTENCY ## ,98,1971,264,6.3
Wonder Boys,1,35000000,## INCONSISTENCY ## ,111,2000,161,6.9
In Time,0,40000000,English,109,2011,304318,6.7
Mrs Henderson Presents,1,20000000,English,103,2005,13505,7.1
Lolita,0,2000000,English,152,1962,67825,7.7
Firestarter,0,15000000,English,114,1984,22797,6.0
King's Ransom,1,0,## INCONSISTENCY ## ,95,2005,14,5.1
The Other End of the Line,1,14000000,English,106,2008,4820,6.2
The Wiz,0,24000000,## INCONSISTENCY ## ,134,1978,58,5.9
Match Point,0,15000000,## INCONSISTENCY ## ,124,2005,1105,7.3
Flight of the Intruder,0,35000000,## INCONSISTENCY ## ,115,1991,31,5.7
Bill & Ted's Bogus Journey,1,0,## INCONSISTENCY ## ,98,1991,308,5.9
Toy Story,1,30000000,English,74,1995,623757,8.3
American History X,0,7500000,English,101,1998,782437,8.6
Idle Hands,1,20000000,English,92,1999,33745,6.2
Osmosis Jones,1,70000000,English,95,2001,25572,6.2
The Edge,0,0,## INCONSISTENCY ## ,117,1997,349,6.7
Bright Star,0,8500000,## INCONSISTENCY ## ,119,2009,107,6.8
Thank You for Smoking,1,6500000,English,92,2005,191998,7.6
Drive,0,15000000,## INCONSISTENCY ## ,100,2011,3725,7.4
One to Another,0,0,## INCONSISTENCY ## ,95,2006,12,5.8
The Watch,1,68000000,## INCONSISTENCY ## ,98,2012,881,5.3
The Soloist,0,60000000,English,117,2009,44099,6.7
Edge of Tomorrow,0,178000000,English,113,2014,431620,7.9
Tremors,1,11000000,English,96,1990,90070,7.1
Twilight Zone: The Movie,0,10000000,English,101,1983,25613,6.5
Dragonball: Evolution,0,45000000,English,100,2009,56451,2.7
Smokin' Aces,0,17000000,English,109,2006,121058,6.7
Antibirth,0,35000000,## INCONSISTENCY ## ,94,2016,40,4.8
The Departed,0,90000000,## INCONSISTENCY ## ,151,2006,4339,7.9
Animals,0,0,## INCONSISTENCY ## ,90,2014,9,6.2
Punch-Drunk Love,1,25000000,## INCONSISTENCY ## ,95,2002,530,6.9
Wild Wild West,1,170000000,English,106,1999,129601,4.8
Princess Kaiulani,0,9000000,## INCONSISTENCY ## ,130,2010,14,4.8
Stripes,1,10000000,## INCONSISTENCY ## ,106,1981,249,6.5
Shadowlands,0,22000000,English,115,1993,13455,7.4
Evil Dead II,1,3600000,## INCONSISTENCY ## ,84,1987,742,7.6
Bridge to Terabithia,0,60000000,## INCONSISTENCY ## ,96,2007,1113,7.0
Something's Gotta Give,1,80000000,## INCONSISTENCY ## ,128,2003,410,6.3
Kung Fu Jungle,0,25000000,## INCONSISTENCY ## ,100,2014,114,6.5
Hardball,1,32000000,## INCONSISTENCY ## ,106,2001,123,6.3
Big Trouble in Little China,1,25000000,## INCONSISTENCY ## ,99,1986,705,7.1
10 Things I Hate About You,1,16000000,## INCONSISTENCY ## ,97,1999,1701,7.3
Dick Tracy,1,47000000,## INCONSISTENCY ## ,103,1990,251,5.9
I Still Know What You Did Last Summer,0,65000000,## INCONSISTENCY ## ,100,1998,374,5.1
Nurse 3D,0,10000000,English,84,2013,7286,4.6
The Guru,1,0,## INCONSISTENCY ## ,91,2002,75,5.1
Keeping the Faith,1,30000000,English,128,2000,44816,6.4
Dark Blue,0,15000000,## INCONSISTENCY ## ,118,2002,85,6.5
Joyeux Noël,0,22000000,## INCONSISTENCY ## ,116,2005,212,7.2
Baby Boy,0,16000000,## INCONSISTENCY ## ,130,2001,55,7.4
Dutch Kills,0,0,## INCONSISTENCY ## ,90,2015,0,0.0
Dallas Buyers Club,0,5000000,English,117,2013,326494,8.0
Truth or Dare,0,0,## INCONSISTENCY ## ,95,2012,117,5.7
The Fountain,0,35000000,English,96,2006,190990,7.3
Heartbeeps,1,10000000,English,78,1981,1040,4.2
The Greatest Show on Earth,0,4000000,English,152,1952,9456,6.7
But I'm a Cheerleader,1,0,## INCONSISTENCY ## ,85,1999,101,6.5
Trust the Man,1,9000000,## INCONSISTENCY ## ,103,2005,29,5.5
Ladder 49,0,55000000,English,115,2004,48753,6.5
The Time Machine,0,80000000,English,96,2002,103787,5.9
End of the Spear,0,10000000,English,108,2005,4360,7.0
Men in Black,1,90000000,## INCONSISTENCY ## ,98,1997,4412,6.9
In Good Company,1,0,## INCONSISTENCY ## ,109,2004,194,5.9
The Boys from Brazil,0,12000000,English,125,1978,20660,7.0
Star Trek Beyond,0,185000000,## INCONSISTENCY ## ,122,2016,2568,6.6
The Straight Story,0,10000000,English,112,1999,63733,8.0
Owning Mahowny,0,10000000,English,104,2003,10585,7.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Robin Hood: Prince of Thieves,0,48000000,English,155,1991,145257,6.9
Walking With Dinosaurs,0,80000000,## INCONSISTENCY ## ,87,2013,133,5.2
Poultrygeist: Night of the Chicken Dead,1,500000,English,103,2006,5931,6.2
Jurassic World,0,150000000,## INCONSISTENCY ## ,124,2015,8662,6.5
Winter Passing,1,3500000,English,98,2005,7228,6.4
George Washington,0,0,## INCONSISTENCY ## ,89,2000,36,6.4
Sgt. Bilko,1,39000000,English,93,1996,17810,5.7
Don't Be Afraid of the Dark,0,25000000,English,99,2010,40776,5.6
It's a Wonderful Afterlife,1,10000000,English,100,2010,1250,5.4
Keeping Up with the Steins,1,0,## INCONSISTENCY ## ,90,2006,18,5.2
The Life Before Her Eyes,0,8000000,## INCONSISTENCY ## ,90,2007,88,6.1
Austin Powers in Goldmember,1,63000000,English,94,2002,162909,6.2
The Informers,0,18000000,English,98,2008,14324,5.1
Catch-22,1,18000000,English,122,1970,17277,7.2
High Noon,0,750000,English,85,1952,80193,8.1
The Terminator,0,6500000,English,107,1984,600266,8.1
My Stepmother is an Alien,1,20000000,## INCONSISTENCY ## ,108,1988,131,5.3
Get Over It,1,10000000,## INCONSISTENCY ## ,87,2001,75,5.5
The Greatest,0,6000000,## INCONSISTENCY ## ,99,2009,34,6.2
Crossover,0,5600000,English,95,2006,8707,2.1
The Pelican Brief,0,45000000,English,141,1993,59569,6.5
16 to Life,1,0,## INCONSISTENCY ## ,118,2009,5,4.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
And Then Came Love,1,989000,English,90,2007,443,4.8
Miracles from Heaven,0,16000000,## INCONSISTENCY ## ,117,2016,186,6.7
Con Air,0,75000000,## INCONSISTENCY ## ,115,1997,1270,6.5
Logan's Run,0,9000000,English,119,1976,39847,6.8
Delgo,1,40000000,English,94,2008,2458,4.4
Sherrybaby,0,2000000,## INCONSISTENCY ## ,96,2006,41,6.3
Patton,0,12000000,English,172,1970,76398,8.0
Extract,1,8000000,## INCONSISTENCY ## ,92,2009,192,5.7
Mutual Appreciation,1,500000,## INCONSISTENCY ## ,109,2005,8,6.1
Men in Black II,1,140000000,English,88,2002,270207,6.1
The House of Sand,0,0,## INCONSISTENCY ## ,115,2005,9,6.7
Sorority Row,0,12500000,## INCONSISTENCY ## ,101,2009,177,5.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Fisher King,1,24000000,## INCONSISTENCY ## ,137,1991,341,7.2
Opal Dream,0,5000000,## INCONSISTENCY ## ,86,2006,7,6.1
How to Be Single,1,38000000,## INCONSISTENCY ## ,110,2016,1201,5.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Frida,0,12000000,English,123,2002,61651,7.4
Anonymous,0,30000000,English,130,2011,34488,6.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Pirate,0,3700000,## INCONSISTENCY ## ,102,1948,17,6.6
Underworld,0,22000000,## INCONSISTENCY ## ,121,2003,2512,6.6
Dancin' It's On,0,0,cs,89,2015,2,4.3
The Ridiculous 6,1,60000000,## INCONSISTENCY ## ,119,2015,388,4.9
Tango,0,0,## INCONSISTENCY ## ,115,1998,6,6.8
Mr. Bean's Holiday,1,25000000,## INCONSISTENCY ## ,90,2007,663,6.1
Click,1,70000000,English,107,2006,246492,6.4
Things We Lost in the Fire,0,16000000,## INCONSISTENCY ## ,113,2007,90,6.7
