Income,Sex,Marital,Age,Education,Occupation,Live,Dual,Person,Person under 18,Householder,Hometype,Ethnic,Language
0,male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,six,four,live with parents/family,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,homemaker,more than ten years,no,six,four,own,house,white,english
0,female,married,65 and over,graduated high school,homemaker,more than ten years,no,two,none,own,house,white,english
1,female,married,35 thru 44,graduated high school,homemaker,less than one year,no,three,one,own,house,white,english
1,male,married,45 thru 54,grad study,professional/managerial,more than ten years,yes,four,none,own,house,white,english
1,female,divorced or separated,35 thru 44,college graduate,professional/managerial,four to six years,not married,two,one,rent,apartment,asian,english
0,female,widowed,55 thru 64,grad study,professional/managerial,less than one year,not married,one,none,rent,apartment,white,english
0,male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,five,two,live with parents/family,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,five,three,own,house,white,english
1,female,married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,no,three,none,own,house,white,english
0,female,single or never married,18 thru 24,grades 9 to 11,student or hs or college,one to three years,not married,three,none,live with parents/family,house,white,english
1,female,married,55 thru 64,1 to 3 years of college,sales worker,more than ten years,yes,four,two,rent,house,white,english
1,female,married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,no,three,none,own,house,white,english
1,female,married,55 thru 64,graduated high school,homemaker,more than ten years,no,two,none,own,house,white,english
1,female,married,35 thru 44,graduated high school,homemaker,four to six years,no,six,four,own,house,white,english
1,female,married,25 thru 34,graduated high school,homemaker,more than ten years,no,five,three,own,house,white,spanish
0,female,single or never married,14 thru 17,grades 9 to 11,sales worker,more than ten years,not married,three,one,live with parents/family,condominium,white,english
1,male,divorced or separated,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,rent,condominium,white,english
0,male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,five,three,live with parents/family,house,white,english
1,female,married,45 thru 54,grad study,homemaker,more than ten years,no,two,none,own,house,white,english
0,male,married,14 thru 17,college graduate,retired,more than ten years,yes,three,none,rent,house,hispanic,english
0,male,single or never married,14 thru 17,grade 8 or less,factory worker/laborer/driver,more than ten years,not married,three,none,live with parents/family,house,white,english
0,male,single or never married,14 thru 17,grade 8 or less,student or hs or college,more than ten years,not married,four,two,live with parents/family,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,female,married,55 thru 64,grad study,homemaker,more than ten years,no,two,none,own,house,white,english
0,female,divorced or separated,45 thru 54,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,own,house,white,english
1,male,married,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,more than ten years,yes,three,one,own,house,white,english
0,male,divorced or separated,35 thru 44,graduated high school,factory worker/laborer/driver,more than ten years,not married,one,none,own,house,white,english
1,female,married,25 thru 34,college graduate,professional/managerial,seven to ten years,yes,three,one,own,condominium,white,english
1,male,married,65 and over,1 to 3 years of college,retired,more than ten years,yes,four,two,own,house,white,english
0,female,married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,not married,four,one,rent,apartment,asian,english
0,male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,five,three,live with parents/family,house,white,spanish
0,male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,five,three,live with parents/family,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,homemaker,seven to ten years,no,four,two,own,house,asian,english
0,male,single or never married,14 thru 17,grade 8 or less,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english
1,female,married,55 thru 64,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english
0,female,divorced or separated,35 thru 44,grades 9 to 11,professional/managerial,more than ten years,not married,two,none,live with parents/family,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,homemaker,more than ten years,no,four,two,own,house,white,english
1,female,married,25 thru 34,1 to 3 years of college,homemaker,one to three years,no,four,two,own,condominium,white,english
0,male,single or never married,14 thru 17,grades 9 to 11,clerical/service worker,more than ten years,not married,five,three,live with parents/family,house,white,english
1,female,married,45 thru 54,graduated high school,homemaker,more than ten years,no,three,one,own,house,white,english
0,female,married,55 thru 64,graduated high school,retired,more than ten years,no,two,none,rent,apartment,white,english
0,female,single or never married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,four,none,rent,house,asian,english
0,female,married,65 and over,graduated high school,homemaker,more than ten years,no,two,two,own,house,white,english
1,female,living together or not married,18 thru 24,college graduate,professional/managerial,seven to ten years,not married,two,none,rent,apartment,white,english
1,male,married,25 thru 34,college graduate,student or hs or college,one to three years,no,three,none,rent,house,white,english
1,female,married,35 thru 44,college graduate,homemaker,more than ten years,no,five,three,own,house,white,english
1,male,married,55 thru 64,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english
0,female,married,18 thru 24,grades 9 to 11,homemaker,four to six years,no,four,two,rent,apartment,white,english
0,female,living together or not married,35 thru 44,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,two,none,rent,house,white,english
1,female,married,35 thru 44,grad study,homemaker,one to three years,no,four,one,own,house,white,english
0,male,married,25 thru 34,1 to 3 years of college,professional/managerial,four to six years,yes,two,none,rent,apartment,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,seven to ten years,not married,two,none,rent,apartment,white,english
1,female,married,18 thru 24,1 to 3 years of college,sales worker,more than ten years,yes,two,none,rent,apartment,white,english
1,male,divorced or separated,55 thru 64,graduated high school,retired,more than ten years,not married,one,none,own,condominium,white,english
1,female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,four to six years,not married,four,none,live with parents/family,house,white,english
1,female,married,55 thru 64,1 to 3 years of college,clerical/service worker,more than ten years,yes,two,none,own,house,white,english
1,female,married,55 thru 64,1 to 3 years of college,homemaker,more than ten years,no,two,none,own,house,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,four,none,own,house,white,english
1,female,married,55 thru 64,1 to 3 years of college,homemaker,one to three years,not married,two,none,own,other,white,english
1,female,married,55 thru 64,graduated high school,sales worker,more than ten years,yes,two,none,own,house,white,english
0,male,married,65 and over,graduated high school,retired,more than ten years,no,two,none,own,mobile home,white,english
1,female,married,55 thru 64,1 to 3 years of college,retired,more than ten years,no,two,none,own,condominium,white,english
1,female,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english
0,female,divorced or separated,65 and over,graduated high school,retired,more than ten years,not married,two,none,own,house,white,english
1,female,married,45 thru 54,grad study,professional/managerial,more than ten years,yes,four,two,own,house,white,english
0,female,divorced or separated,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,not married,two,none,rent,apartment,white,english
1,female,married,45 thru 54,grad study,professional/managerial,one to three years,yes,three,none,own,house,white,english
1,female,married,35 thru 44,graduated high school,homemaker,more than ten years,no,two,none,own,house,hispanic,english
1,female,single or never married,14 thru 17,graduated high school,unemployed,seven to ten years,not married,three,one,live with parents/family,house,white,english
1,male,single or never married,18 thru 24,graduated high school,student or hs or college,more than ten years,not married,two,none,live with parents/family,house,white,english
1,male,single or never married,14 thru 17,grades 9 to 11,sales worker,more than ten years,not married,three,one,live with parents/family,house,white,english
0,male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,five,three,live with parents/family,house,white,english
1,female,single or never married,14 thru 17,grade 8 or less,professional/managerial,one to three years,not married,seven,five,rent,condominium,other,english
0,female,single or never married,18 thru 24,graduated high school,professional/managerial,more than ten years,not married,two,none,live with parents/family,apartment,white,english
1,female,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,yes,six,none,own,house,white,english
1,female,married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,no,four,none,own,house,white,english
1,male,married,25 thru 34,grad study,sales worker,one to three years,yes,two,none,rent,apartment,white,english
1,male,single or never married,18 thru 24,grades 9 to 11,student or hs or college,more than ten years,not married,five,one,live with parents/family,house,white,english
0,female,living together or not married,25 thru 34,graduated high school,clerical/service worker,one to three years,not married,three,one,rent,apartment,white,english
1,female,widowed,65 and over,graduated high school,retired,more than ten years,not married,one,none,rent,apartment,white,english
1,female,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english
0,female,divorced or separated,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,not married,three,one,rent,condominium,white,english
0,female,married,18 thru 24,college graduate,sales worker,one to three years,yes,two,none,rent,house,white,english
1,male,single or never married,45 thru 54,grad study,professional/managerial,less than one year,not married,one,none,rent,condominium,white,english
1,female,widowed,65 and over,graduated high school,retired,one to three years,not married,two,none,own,condominium,white,english
1,female,divorced or separated,65 and over,college graduate,retired,more than ten years,not married,one,none,rent,condominium,white,english
1,female,divorced or separated,35 thru 44,1 to 3 years of college,clerical/service worker,more than ten years,not married,two,none,own,house,white,english
0,female,single or never married,14 thru 17,grade 8 or less,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english
1,female,married,25 thru 34,college graduate,homemaker,four to six years,no,three,one,own,house,white,english
1,female,living together or not married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,not married,two,none,own,house,white,english
1,female,living together or not married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,not married,two,none,own,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,five,one,live with parents/family,house,white,english
1,female,married,35 thru 44,college graduate,clerical/service worker,four to six years,yes,four,two,own,house,white,english
1,female,married,35 thru 44,graduated high school,homemaker,more than ten years,no,four,two,own,house,white,english
1,female,divorced or separated,25 thru 34,1 to 3 years of college,homemaker,more than ten years,not married,four,three,rent,condominium,white,english
1,male,married,55 thru 64,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english
0,female,married,45 thru 54,grad study,clerical/service worker,more than ten years,no,three,none,own,house,white,english
1,female,married,45 thru 54,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english
0,male,single or never married,14 thru 17,grade 8 or less,unemployed,more than ten years,not married,five,three,live with parents/family,house,hispanic,spanish
1,female,married,45 thru 54,1 to 3 years of college,professional/managerial,seven to ten years,yes,five,one,own,house,white,english
1,female,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,no,two,none,own,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,eight,six,live with parents/family,house,white,english
1,female,married,45 thru 54,grad study,homemaker,one to three years,no,three,none,own,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,four to six years,not married,five,three,live with parents/family,apartment,asian,other
1,male,married,35 thru 44,1 to 3 years of college,professional/managerial,seven to ten years,yes,six,two,rent,house,white,english
1,male,married,35 thru 44,grad study,professional/managerial,four to six years,yes,five,three,own,house,white,english
1,male,married,65 and over,graduated high school,professional/managerial,more than ten years,no,two,none,own,house,white,english
1,male,married,65 and over,grad study,professional/managerial,more than ten years,no,three,none,own,house,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,more than ten years,not married,seven,none,rent,condominium,white,english
1,female,divorced or separated,45 thru 54,1 to 3 years of college,professional/managerial,seven to ten years,not married,two,none,own,house,white,english
0,female,single or never married,25 thru 34,grad study,student or hs or college,more than ten years,not married,seven,one,live with parents/family,house,white,english
1,male,married,65 and over,graduated high school,retired,more than ten years,no,three,none,own,house,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,unemployed,one to three years,not married,one,none,rent,apartment,white,english
1,male,married,65 and over,graduated high school,retired,more than ten years,no,two,none,own,house,white,english
1,female,married,35 thru 44,grad study,professional/managerial,four to six years,yes,four,two,own,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,clerical/service worker,four to six years,not married,two,one,live with parents/family,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,clerical/service worker,more than ten years,not married,three,two,live with parents/family,apartment,white,english
1,male,married,55 thru 64,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,homemaker,more than ten years,no,four,none,own,house,white,english
1,female,married,35 thru 44,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,female,married,25 thru 34,college graduate,professional/managerial,four to six years,yes,two,none,own,other,white,english
1,female,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,three,one,own,house,white,english
1,male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english
0,male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,four to six years,not married,six,three,live with parents/family,other,white,english
0,female,married,18 thru 24,graduated high school,professional/managerial,more than ten years,yes,two,none,rent,apartment,white,english
1,male,married,65 and over,grad study,professional/managerial,more than ten years,no,three,three,own,house,white,english
1,female,married,35 thru 44,graduated high school,professional/managerial,more than ten years,no,four,two,own,house,white,english
0,female,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,other,white,english
0,female,divorced or separated,65 and over,graduated high school,retired,more than ten years,not married,one,none,rent,apartment,white,english
0,female,divorced or separated,55 thru 64,college graduate,professional/managerial,more than ten years,not married,two,none,own,house,white,english
0,female,widowed,65 and over,1 to 3 years of college,clerical/service worker,more than ten years,not married,one,none,own,house,white,english
0,male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,seven to ten years,not married,three,none,live with parents/family,condominium,white,spanish
1,female,married,25 thru 34,graduated high school,homemaker,more than ten years,no,four,two,own,house,white,english
1,male,single or never married,35 thru 44,1 to 3 years of college,sales worker,more than ten years,not married,one,none,rent,apartment,white,english
1,female,widowed,45 thru 54,1 to 3 years of college,retired,one to three years,not married,two,none,rent,apartment,white,english
1,male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,one to three years,not married,two,none,own,house,white,english
1,male,married,65 and over,grad study,retired,more than ten years,no,two,none,own,house,white,english
1,female,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,seven to ten years,not married,one,none,rent,condominium,white,english
1,male,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english
0,female,single or never married,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,one,none,rent,apartment,white,english
0,female,single or never married,25 thru 34,graduated high school,factory worker/laborer/driver,seven to ten years,not married,three,one,rent,apartment,white,english
0,female,widowed,65 and over,college graduate,retired,more than ten years,not married,one,one,rent,apartment,white,english
1,female,married,55 thru 64,college graduate,sales worker,more than ten years,yes,two,none,own,house,white,english
1,female,married,35 thru 44,grad study,homemaker,seven to ten years,no,five,three,own,house,asian,english
0,male,married,65 and over,college graduate,retired,more than ten years,no,two,none,own,house,white,english
1,female,single or never married,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,not married,one,none,rent,apartment,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,four,none,live with parents/family,house,white,english
1,female,single or never married,18 thru 24,graduated high school,sales worker,four to six years,not married,three,one,live with parents/family,house,white,english
0,female,divorced or separated,65 and over,grad study,professional/managerial,more than ten years,not married,one,none,rent,house,white,english
1,male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,two,none,own,house,white,english
1,male,single or never married,25 thru 34,college graduate,professional/managerial,four to six years,not married,two,none,rent,condominium,white,english
1,male,married,25 thru 34,college graduate,professional/managerial,seven to ten years,yes,three,one,rent,apartment,asian,english
1,male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,rent,condominium,white,english
1,female,married,25 thru 34,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,seven to ten years,not married,three,one,live with parents/family,house,white,english
1,female,married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,female,single or never married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,two,none,own,house,white,english
1,male,married,55 thru 64,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english
0,male,married,65 and over,graduated high school,retired,more than ten years,no,two,none,own,house,white,english
0,male,living together or not married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,four,none,rent,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,homemaker,more than ten years,no,five,three,own,house,white,english
1,female,married,45 thru 54,graduated high school,clerical/service worker,more than ten years,yes,three,none,own,house,white,english
1,female,married,55 thru 64,college graduate,homemaker,more than ten years,no,two,none,own,house,white,english
0,female,married,45 thru 54,graduated high school,professional/managerial,more than ten years,no,three,one,own,house,white,english
1,male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,two,none,own,condominium,white,english
1,male,single or never married,18 thru 24,college graduate,professional/managerial,more than ten years,not married,three,none,rent,apartment,white,english
1,female,divorced or separated,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,not married,four,one,own,mobile home,white,english
0,male,single or never married,18 thru 24,college graduate,clerical/service worker,four to six years,not married,one,none,live with parents/family,house,white,english
1,female,married,45 thru 54,grades 9 to 11,homemaker,more than ten years,no,four,one,rent,apartment,white,english
1,male,married,35 thru 44,grade 8 or less,sales worker,more than ten years,yes,three,one,rent,apartment,hispanic,english
1,female,single or never married,18 thru 24,graduated high school,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english
1,female,single or never married,18 thru 24,graduated high school,student or hs or college,more than ten years,not married,six,none,rent,other,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,four to six years,not married,four,two,live with parents/family,house,white,english
1,female,divorced or separated,35 thru 44,grad study,professional/managerial,more than ten years,not married,one,none,own,house,white,english
1,female,married,25 thru 34,college graduate,professional/managerial,seven to ten years,yes,three,one,own,house,white,english
1,female,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,one,one,own,house,white,english
1,male,married,65 and over,college graduate,retired,more than ten years,no,two,none,own,house,white,english
1,male,married,45 thru 54,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english
0,male,single or never married,14 thru 17,grade 8 or less,student or hs or college,more than ten years,not married,three,one,live with parents/family,condominium,white,english
0,male,married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,rent,condominium,white,english
1,male,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english
1,male,divorced or separated,45 thru 54,graduated high school,factory worker/laborer/driver,seven to ten years,not married,four,one,rent,house,white,english
1,male,married,25 thru 34,1 to 3 years of college,professional/managerial,seven to ten years,yes,four,two,rent,house,white,english
1,male,married,55 thru 64,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,male,married,55 thru 64,grad study,professional/managerial,more than ten years,yes,three,one,own,house,white,english
1,female,living together or not married,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,two,none,rent,apartment,white,english
1,male,married,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,more than ten years,yes,two,none,own,house,white,english
1,male,married,55 thru 64,grad study,retired,more than ten years,no,two,none,own,house,white,english
1,male,single or never married,18 thru 24,graduated high school,professional/managerial,more than ten years,not married,three,none,rent,condominium,white,english
1,male,married,45 thru 54,1 to 3 years of college,sales worker,more than ten years,yes,four,two,own,house,white,english
1,male,married,45 thru 54,grad study,professional/managerial,more than ten years,no,two,one,own,house,white,english
1,male,single or never married,14 thru 17,grades 9 to 11,clerical/service worker,more than ten years,not married,four,two,live with parents/family,house,white,english
1,male,married,55 thru 64,college graduate,professional/managerial,more than ten years,no,two,none,own,house,white,english
1,male,married,65 and over,1 to 3 years of college,retired,more than ten years,yes,two,none,own,house,white,english
1,male,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,rent,house,white,english
0,male,single or never married,25 thru 34,1 to 3 years of college,student or hs or college,more than ten years,not married,four,none,rent,house,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,three,none,live with parents/family,house,white,english
1,male,married,45 thru 54,grad study,professional/managerial,more than ten years,not married,three,none,own,house,white,english
1,male,single or never married,25 thru 34,grad study,professional/managerial,more than ten years,not married,two,none,rent,apartment,white,english
1,male,married,45 thru 54,graduated high school,retired,more than ten years,yes,three,none,own,house,white,english
1,female,married,65 and over,1 to 3 years of college,retired,more than ten years,no,three,none,own,house,white,english
1,male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,three,one,own,house,white,english
1,male,married,65 and over,college graduate,retired,more than ten years,no,two,none,own,house,white,english
1,female,divorced or separated,55 thru 64,graduated high school,clerical/service worker,more than ten years,not married,one,none,own,other,white,english
1,male,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,yes,three,one,own,house,white,english
1,male,married,35 thru 44,college graduate,sales worker,more than ten years,yes,four,two,own,house,white,english
1,male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,four,two,own,house,white,english
1,male,married,25 thru 34,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english
0,male,living together or not married,18 thru 24,graduated high school,factory worker/laborer/driver,one to three years,not married,four,none,rent,apartment,white,english
1,male,married,35 thru 44,college graduate,professional/managerial,more than ten years,yes,four,one,own,house,white,english
1,male,married,55 thru 64,college graduate,retired,more than ten years,yes,four,none,own,house,white,english
1,female,married,25 thru 34,graduated high school,professional/managerial,four to six years,no,four,two,rent,apartment,white,english
1,male,married,25 thru 34,1 to 3 years of college,professional/managerial,seven to ten years,yes,four,two,own,house,white,english
1,male,married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,no,two,none,own,house,white,english
0,male,divorced or separated,35 thru 44,grad study,unemployed,four to six years,not married,one,none,rent,house,white,english
0,male,divorced or separated,65 and over,grades 9 to 11,retired,more than ten years,not married,one,none,own,house,white,english
0,female,divorced or separated,45 thru 54,graduated high school,clerical/service worker,more than ten years,not married,one,none,own,house,white,english
1,male,married,65 and over,graduated high school,retired,more than ten years,no,two,none,own,house,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,more than ten years,not married,six,one,live with parents/family,house,white,english
0,male,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,condominium,white,english
0,female,widowed,65 and over,graduated high school,clerical/service worker,more than ten years,not married,one,none,own,house,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,rent,house,white,english
0,female,widowed,35 thru 44,graduated high school,clerical/service worker,more than ten years,not married,five,three,rent,apartment,white,english
1,female,divorced or separated,55 thru 64,1 to 3 years of college,homemaker,more than ten years,not married,four,none,own,house,white,english
1,female,married,25 thru 34,1 to 3 years of college,sales worker,more than ten years,yes,three,one,rent,apartment,white,english
1,female,divorced or separated,35 thru 44,grad study,professional/managerial,more than ten years,not married,one,none,own,condominium,white,english
1,male,married,25 thru 34,graduated high school,factory worker/laborer/driver,more than ten years,yes,four,two,rent,other,white,english
0,female,single or never married,65 and over,grad study,retired,more than ten years,not married,two,none,own,house,white,english
1,female,married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,yes,five,one,own,house,white,english
1,female,married,45 thru 54,1 to 3 years of college,homemaker,seven to ten years,yes,four,two,rent,condominium,white,english
1,female,married,25 thru 34,1 to 3 years of college,homemaker,seven to ten years,no,five,none,rent,house,white,english
1,female,married,35 thru 44,college graduate,sales worker,more than ten years,yes,four,one,own,house,white,english
1,female,single or never married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,one,none,rent,condominium,white,english
0,female,married,55 thru 64,1 to 3 years of college,retired,more than ten years,no,three,none,own,house,white,english
1,female,married,25 thru 34,college graduate,professional/managerial,more than ten years,yes,four,two,own,house,white,english
0,female,divorced or separated,45 thru 54,1 to 3 years of college,sales worker,more than ten years,not married,one,none,rent,apartment,white,english
1,female,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,three,none,own,house,white,english
